species,location,time,description of bird,sex,feather color,activity_period,back_color,behavior,bill_color,bill_length,bill_shape,body_color,breast_color,cap_color,cheek_color,chest_color,chin_color,collar_color,crest_color,crown_color,eye_color,face_color,feeding_behavior,flight_style,foot_color,habitat_preference,head_color,head_marking,head_ornament,height,leg_color,leg_covering,leg_length,locomotion,nape_color,neck_color,neck_length,plumage_color,plumage_finish,plumage_pattern,rump_color,shoulder_color,side_color,size,tail_color,tail_length,tail_shape,throat_color,underparts_color,underwing_color,upperparts_color,vocalization,wing_color,wingtip_color
American Crow,United States,26-08-2010 16:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,06-09-2002 09:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,21-08-2011 12:30,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,28-08-2010 14:35,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,09-09-2002 16:55,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,14-08-2011 09:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,16-08-2010 12:10,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,22-09-2002 14:35,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,19-08-2011 16:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,18-08-2010 09:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,30-09-2002 12:30,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,23-08-2011 14:35,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,26-08-2010 16:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,08-09-2002 09:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,29-08-2011 12:10,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,31-08-2010 14:35,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,14-09-2002 16:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Barn Owl,United States,10-05-2008 06:45,A medium-sized owl with a heart-shaped face and pale plumage,Unknown,White and Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Roseate Spoonbill,United States,17-06-2009 09:20,A large wading bird with a pink plumage and a distinctive spoon-shaped bill,Unknown,Pink,,,,,,spoon,,,,,,,,,,,,,,,,,,,,,,,wading,,,,pink,,,,,,large,,,,,,,,,,
Purple Gallinule,United States,05-07-2012 14:10,A medium-sized bird with a vibrant purple and blue plumage,Unknown,Purple and Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|purple,,,,,,medium,,,,,,,,,,
Belted Kingfisher,United States,23-09-2004 08:35,A medium-sized bird with a blue-gray plumage and a shaggy crest,Unknown,Blue-gray,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue_gray,,,,,,medium,,,,,,,,,,
Hooded Merganser,United States,14-02-2011 16:15,A small diving duck with a black and white plumage and a distinctive fan-shaped crest,Male,Black and White,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,diving,,,,black|white,,,,,,small,,,,,,,,,,
Green Heron,United States,30-08-2006 11:55,"A small heron with a greenish-gray plumage and a long, slender neck",Unknown,Greenish-gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,long,gray|green,,,,,,small,,,,,,,,,,
Sandhill Crane,United States,12-03-2009 14:40,"A large wading bird with a gray plumage, a red crown, and a distinctive loud call",Unknown,Gray,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,wading,,,,gray,,,,,,large,,,,,,,,call,,
Northern Gannet,United States,19-05-2007 09:30,"A large seabird with a white plumage, black wingtips, and a pointed bill",Unknown,White and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,,,black
American Avocet,United States,27-07-2010 16:50,"A medium-sized wading bird with a white and black plumage and a long, thin bill",Unknown,White and Black,,,,,long,slender,,,,,,,,,,,,,,,,,,,,,,,wading,,,,black|white,,,,,,medium,,,,,,,,,,
Cattle Egret,United States,05-09-2003 12:20,A small egret with a white plumage and a yellow bill,Unknown,White,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,small,,,,,,,,,,
Wilson's Plover,United States,08-06-2008 14:15,A small shorebird with a brown and white plumage,Unknown,Brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|white,,,,,,small,,,,,,,,,,
Black-bellied Plover,United States,10-09-2005 08:40,A medium-sized shorebird with a black and white plumage and a distinctive black belly patch,Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,black,,,,,
Peregrine Falcon,United States,17-03-2012 16:25,"A medium-sized falcon with a blue-gray back, a white underside, and powerful wings",Unknown,Blue-gray and White,,blue_gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,white,,,,,
Bald Eagle,United States,24-11-2004 11:50,"A large bird of prey with a brown body, a white head, and a hooked yellow bill",Unknown,Brown and White,,,,yellow,,,brown,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,large,,,,,,,,,,
American White Pelican,United States,31-05-2009 14:05,"A large water bird with a white plumage, a massive bill, and a distinctive throat pouch",Unknown,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,,,
American Bittern,United States,11-08-2006 16:30,A medium-sized heron-like bird with a brown and white streaked plumage,Unknown,Brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|white,,streaked,,,,medium,,,,,,,,,,
Little Blue Heron,United States,20-04-2011 09:10,"A medium-sized heron with a blue-gray plumage and a slender, curved bill",Unknown,Blue-gray,,,,,,curved,,,,,,,,,,,,,,,,,,,,,,,,,,,blue_gray,,,,,,medium,,,,,,,,,,
Burrowing Owl,United States,18-09-2003 12:40,A small owl with a brown and white spotted plumage and long legs,Unknown,Brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,long,,,,,brown|white,,spotted,,,,small,,,,,,,,,,
Northern Harrier,United States,26-06-2008 14:20,"A medium-sized hawk with a brown plumage, a white rump, and a distinctive owl-like face",Unknown,Brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,white,,,medium,,,,,,,,,,
Snowy Egret,United States,01-07-2005 08:45,"A small egret with a white plumage, black legs, and a slender black bill",Unknown,White and Black,,,,black,,slender,,,,,,,,,,,,,,,,,,,,black,,,,,,,white,,,,,,small,,,,,,,,,,
Eastern Screech Owl,United States,09-02-2012 16:55,A small owl with a gray or reddish-brown plumage and distinctive ear tufts,Unknown,Gray or Reddish-brown,,,,,,,,,,,,,,,,,,,,,,,,ear_tufts,,,,,,,,,brown|gray|red,,,,,,small,,,,,,,,,,
Clapper Rail,United States,13-10-2004 11:25,"A medium-sized rail bird with a mottled brown plumage and a long, downward-curved bill",Unknown,Brown,,,,,,downcurved,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,,,
Common Loon,United States,15-05-2009 14:50,A large diving bird with a black and white checkered back and a distinctive call,Unknown,Black and White,,black|white,,,,,,,,,,,,,,,,,,,,,,,,,,,diving,,,,,,,,,,large,,,,,,,,call,,
Red-throated Loon,United States,03-08-2006 09:15,"A medium-sized diving bird with a gray plumage, a reddish throat, and a slender bill",Unknown,Gray and Red,,,,,,slender,,,,,,,,,,,,,,,,,,,,,,,diving,,,,gray,,,,,,medium,,,,red,,,,,,
Marbled Godwit,United States,05-04-2011 12:35,"A large shorebird with a brown and buff-colored plumage, a long, upturned bill, and a barred tail",Unknown,Brown and Buff,,,,,,upturned,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|buff|red,,barred,,,,large,,,,,,,,,,
Short-billed Dowitcher,United States,22-09-2003 14:00,"A medium-sized shorebird with a brown and white plumage, a long, straight bill, and a distinctive whistling call",Unknown,Brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|white,,,,,,medium,,,,,,,,call,,
Semipalmated Sandpiper,United States,30-06-2008 16:20,"A small sandpiper with a gray and white plumage, a short, straight bill, and partially webbed feet",Unknown,Gray and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray|white,,,,,,small,,,,,,,,,,
Least Sandpiper,United States,09-07-2005 09:40,"A small sandpiper with a brown and white plumage, a short, slightly curved bill, and yellowish legs",Unknown,Brown and White,,,,,,curved,,,,,,,,,,,,,,,,,,,,yellow,,,,,,,brown|white,,,,,,small,,,,,,,,,,
Wilson's Snipe,United States,15-02-2012 12:10,"A medium-sized shorebird with a mottled brown plumage, a long bill, and a drumming sound produced during courtship",Unknown,Brown,,,courtship_display,,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,,,
Laughing Gull,United States,25-10-2004 14:35,"A medium-sized gull with a gray back, a white head, and a distinctive loud, laughing call",Unknown,Gray and White,,gray,,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,medium,,,,,,,,call,,
Ring-billed Gull,United States,25-05-2009 16:50,"A medium-sized gull with a white plumage, a gray back, and a black ring around its yellow bill",Unknown,White and Gray,,gray,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,medium,,,,,,,,,,
Herring Gull,United States,10-08-2006 09:30,"A large gull with a gray back, a white head, and a yellow bill with a red spot",Unknown,Gray and White,,gray,,yellow,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,large,,,,,,,,,,
Caspian Tern,United States,28-03-2011 11:55,"A large tern with a white plumage, a black cap, and a distinctive red bill",Unknown,White and Black,,,,red,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,,,
Least Tern,United States,08-09-2003 14:20,"A small tern with a white plumage, a black cap, and a yellow bill",Unknown,White and Black,,,,yellow,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,small,,,,,,,,,,
Common Tern,United States,18-05-2008 16:45,"A medium-sized tern with a white plumage, a black cap, and a red bill",Unknown,White and Black,,,,red,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,medium,,,,,,,,,,
Forster's Tern,United States,25-06-2009 09:10,"A medium-sized tern with a white plumage, a black cap, and a distinctive forked tail",Unknown,White and Black,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,medium,,,forked,,,,,,,
Black Skimmer,United States,17-07-2012 12:40,"A medium-sized tern with a black back, a white underside, and a distinctive red and black bill",Unknown,Black and White,,black,,black|red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,white,,,,,
Rock Pigeon,United States,01-09-2004 14:05,"A medium-sized pigeon with a gray plumage, a white rump, and iridescent feathers on the neck",Unknown,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,iridescent,,white,,,medium,,,,,,,,,,
Eurasian Collared-Dove,United States,07-02-2011 16:30,"A medium-sized dove with a grayish-brown plumage, a distinctive black collar, and a long, tapered tail",Unknown,Grayish-brown,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,long,,,,,,,,
White-winged Dove,United States,14-08-2006 09:55,"A medium-sized dove with a gray-brown plumage, a white wing patch, and a long, pointed tail",Unknown,Gray-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,long,,,,,,,white,
Mourning Dove,United States,25-03-2009 12:20,"A medium-sized dove with a gray-brown plumage, a slender bill, and a mournful cooing call",Unknown,Gray-brown,,,,,,slender,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,call,,
Eastern Whip-poor-will,United States,10-11-2004 14:40,"A medium-sized nocturnal bird with a mottled brown plumage and a distinctive ""whip-poor-will"" call",Unknown,Brown,nocturnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,call,,
Chimney Swift,United States,25-06-2011 16:15,"A small swift with a dark brown plumage, a slender body, and rapid, erratic flight",Unknown,Dark Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,,,
Ruby-throated Hummingbird,United States,01-08-2003 09:55,"A small hummingbird with a green plumage, a distinctive ruby-red throat, and wings that beat rapidly",Unknown,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Belted Kingfisher,United States,15-04-2008 12:30,"A medium-sized bird with a blue-gray plumage, a shaggy crest, and a loud rattling call",Unknown,Blue-gray,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue_gray,,,,,,medium,,,,,,,,call,,
Red-headed Woodpecker,United States,05-06-2005 14:35,"A medium-sized woodpecker with a black back, a white belly, and a distinctive red head",Unknown,"Black, White, and Red",,black,,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,medium,,,,,white,,,,,
Red-bellied Woodpecker,United States,20-01-2012 09:55,"A medium-sized woodpecker with a black and white striped back, a red cap, and a distinctive ""churr"" call",Unknown,"Black, White, and Red",,black|white,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,striped,,,,medium,,,,,,,,call,,
Yellow-bellied Sapsucker,United States,05-09-2004 12:10,"A medium-sized woodpecker with a black and white plumage, a red cap, and a yellow belly",Unknown,"Black, White, and Red",,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,yellow,,,,,
Downy Woodpecker,United States,05-06-2011 14:35,"A small woodpecker with a black and white plumage, a small bill, and a drumming call",Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,call,,
Hairy Woodpecker,United States,05-08-2006 16:55,"A medium-sized woodpecker with a black and white plumage, a longer bill than the Downy Woodpecker, and a distinctive ""peek"" call",Unknown,Black and White,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,call,,
Northern Flicker,United States,25-03-2009 09:55,"A medium-sized woodpecker with a brown plumage, a black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Pileated Woodpecker,United States,05-11-2004 12:10,"A large woodpecker with a black body, a red crest, and a distinctive ""kuk-kuk-kuk-kuk"" call",Unknown,Black and Red,,,,,,,black,,,,,,,red,,,,,,,,,,crest,,,,,,,,,,,,,,,large,,,,,,,,call,,
American Kestrel,United States,12-01-2011 14:35,"A small falcon with a reddish-brown back, a white underside, and a distinctive hovering flight",Unknown,Reddish-brown and White,,brown|red,,,,,,,,,,,,,,,,,hovering,,,,,,,,,,,,,,,,,,,,small,,,,,white,,,,,
Merlin,United States,21-07-2006 16:55,"A small falcon with a dark gray back, a white underside, and rapid flight",Unknown,Dark Gray and White,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,white,,,,,
Peregrine Falcon,United States,05-02-2009 09:55,"A medium-sized falcon with a blue-gray back, a white underside, and powerful wings",Unknown,Blue-gray and White,,blue_gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,white,,,,,
Roseate Spoonbill,United States,13-10-2004 12:10,"A large wading bird with a pink plumage, a distinctive spoon-shaped bill, and a slow, graceful flight",Unknown,Pink,,,,,,spoon,,,,,,,,,,,,,,,,,,,,,,,wading,,,,pink,,,,,,large,,,,,,,,,,
Great Blue Heron,United States,08-05-2011 14:35,"A large heron with a blue-gray plumage, a long neck, and a slow, deliberate flight",Unknown,Blue-gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,long,blue_gray,,,,,,large,,,,,,,,,,
Great Egret,United States,23-06-2006 16:55,"A large egret with a white plumage, a long neck, and a distinctive S-shaped flight pattern",Unknown,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,long,white,,,,,,large,,,,,,,,,,
Snowy Egret,United States,28-02-2009 09:55,"A small egret with a white plumage, black legs, and a slender black bill",Unknown,White and Black,,,,black,,slender,,,,,,,,,,,,,,,,,,,,black,,,,,,,white,,,,,,small,,,,,,,,,,
Little Blue Heron,United States,09-10-2004 12:10,"A medium-sized heron with a blue-gray plumage, a slender bill, and a slow, stalking movement",Unknown,Blue-gray,,,,,,slender,,,,,,,,,,,,,,,,,,,,,,,,,,,blue_gray,,,,,,medium,,,,,,,,,,
Tricolored Heron,United States,12-04-2011 14:35,"A medium-sized heron with a blue-gray back, a white belly, and a distinctive three-colored plumage",Unknown,"Blue-gray, White, and Rusty",,blue_gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,white,,,,,
Reddish Egret,United States,15-06-2006 16:55,"A medium-sized heron with a mottled gray plumage, a shaggy crest, and a distinctive dancing-like foraging behavior",Unknown,Gray,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,gray,,mottled,,,,medium,,,,,,,,,,
Green Heron,United States,01-01-2009 09:55,"A small heron with a greenish-gray plumage, a long, slender neck, and a secretive nature",Unknown,Greenish-gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,long,gray|green,,,,,,small,,,,,,,,,,
Black-crowned Night-Heron,United States,05-09-2004 12:10,"A medium-sized heron with a black cap, a gray body, and a distinctive ""quok"" call",Unknown,Black and Gray,,,,,,,gray,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,call,,
Glossy Ibis,United States,06-05-2011 14:35,"A medium-sized wading bird with a dark brown plumage, a long, curved bill, and a metallic sheen",Unknown,Dark Brown,,,,,,curved,,,,,,,,,,,,,,,,,,,,,,,wading,,,,brown,iridescent,,,,,medium,,,,,,,,,,
White-faced Ibis,United States,01-06-2006 16:55,"A medium-sized wading bird with a chestnut plumage, a white face, and a downward-curved bill",Unknown,Chestnut and White,,,,,,downcurved,,,,,,,,,,,white,,,,,,,,,,,,wading,,,,chestnut,,,,,,medium,,,,,,,,,,
Black Vulture,United States,20-01-2009 09:55,"A large vulture with a black plumage, a bald head, and a scavenging nature",Unknown,Black,,,scavenging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,large,,,,,,,,,,
Turkey Vulture,United States,09-09-2004 12:10,"A large vulture with a blackish-brown plumage, a red head, and a soaring flight",Unknown,Blackish-brown and Red,,,,,,,,,,,,,,,,,,,soaring,,,red,,,,,,,,,,,brown,,,,,,large,,,,,,,,,,
Osprey,United States,10-04-2011 14:35,"A large bird of prey with a brown and white plumage, a distinctive ""cheer-cheer"" call, and a hovering flight",Unknown,Brown and White,,,,,,,,,,,,,,,,,,,hovering,,,,,,,,,,,,,,brown|white,,,,,,large,,,,,,,,call,,
Bald Eagle,United States,25-06-2006 16:55,"A large bird of prey with a brown body, a white head, a hooked yellow bill, and a soaring flight",Unknown,Brown and White,,,,yellow,,,brown,,,,,,,,,,,,soaring,,,white,,,,,,,,,,,,,,,,,large,,,,,,,,,,
Northern Harrier,United States,15-01-2009 09:55,"A medium-sized hawk with a brown plumage, a white rump, a distinctive owl-like face, and a low-flying, hovering flight",Unknown,Brown and White,,,,,,,,,,,,,,,,,,,hovering,,,,,,,,,,,,,,brown,,,white,,,medium,,,,,,,,,,
Sharp-shinned Hawk,United States,17-09-2004 12:10,"A small hawk with a gray-blue back, a rusty-red barred belly, and a rapid, agile flight",Unknown,Gray-blue and Rusty-red,,blue|gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barred,,,,small,,,,,red|rust,,,,,
Cooper's Hawk,United States,05-04-2011 14:35,"A medium-sized hawk with a bluish-gray back, a rusty-red barred belly, and a distinctive rounded tail",Unknown,Bluish-gray and Rusty-red,,blue_gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barred,,,,medium,,,,,red|rust,,,,,
Red-tailed Hawk,United States,07-06-2006 16:55,"A large hawk with a brown back, a red tail, and a soaring flight",Unknown,Brown and Red,,brown,,,,,,,,,,,,,,,,,soaring,,,,,,,,,,,,,,,,,,,,large,red,,,,,,,,,
Rough-legged Hawk,United States,29-01-2009 09:55,"A medium-sized hawk with a mottled brown plumage, a white belly, and feathered legs",Unknown,Brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,feathered,,,,,,brown,,mottled,,,,medium,,,,,white,,,,,
Common Gallinule,United States,28-09-2004 12:10,"A medium-sized bird with a dark plumage, a red bill, and a distinctive loud, cackling call",Unknown,Dark and Red,,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,call,,
