species,location,time,description of bird,sex,feather color,,,,,,
Franklin's Gull,United States,26-05-2006 16:55,A medium-sized gull with a gray back, a white underside, and a distinctive black head,Unknown,Gray, White, and Black,,
Bonaparte's Gull,United States,27-01-2009 09:55,A small gull with a gray back, a white underside, and a distinctive black head and red bill,Unknown,Gray, White, Black, and Red,
Ring-billed Gull,United States,05-09-2004 12:10,A medium-sized gull with a white plumage, a gray back, and a black ring around its yellow bill,Unknown,White and Gray,,,,
Herring Gull,United States,30-01-2011 14:35,A large gull with a gray back, a white head, and a yellow bill with a red spot,Unknown,Gray, White, and Yellow,,
Iceland Gull,United States,15-05-2006 16:55,A medium-sized gull with a pale gray and white plumage," a distinctive ""kiyah"" call, and a fondness for icy habitats,Unknown,Pale Gray and White", and a fondness for icy habitats,Unknown,Pale Gray and White,,,,
Glaucous-winged Gull,United States,18-01-2009 09:55,A large gull with a gray back, a white head, and pale gray wingtips,Unknown,Gray and White,,,,
Great Black-backed Gull,United States,27-09-2004 12:10,A large gull with a black back, a white underside," and a distinctive ""laughing"" call,Unknown,Black and White",Unknown,Black and White,,,,
Caspian Tern,United States,28-01-2011 14:35,A large tern with a white plumage, a black cap, and a distinctive red bill,Unknown,White and Black,,,,
Common Tern,United States,05-05-2006 16:55,A medium-sized tern with a white plumage, a black cap, and a red bill,Unknown,White and Black,,,,
Forster's Tern,United States,13-01-2009 09:55,A medium-sized tern with a white plumage, a black cap, and a distinctive forked tail,Unknown,White and Black,,,,
Royal Tern,United States,06-09-2004 12:10,A large tern with a white plumage, a black cap, and a distinctive orange bill,Unknown,White, Black, and Orange,,
Roseate Tern,United States,22-01-2011 14:35,A medium-sized tern with a white plumage, a black cap," a distinctive ""krek-krek"" call, and a rosy tint during breeding season,Unknown,White and Black", and a rosy tint during breeding season,Unknown,White and Black,,,
Black Skimmer,United States,14-05-2006 16:55,A medium-sized tern with a black back, a white underside, and a distinctive red and black bill,Unknown,Black, White, and Red,,
Rock Pigeon,United States,17-01-2009 09:55,A medium-sized pigeon with a gray plumage, a white rump, and iridescent feathers on the neck,Unknown,Gray,,,,
Eurasian Collared-Dove,United States,05-09-2004 12:10,A medium-sized dove with a grayish-brown plumage, a distinctive black collar, and a long, tapered tail,Unknown,Grayish-brown,,,
White-winged Dove,United States,30-01-2011 14:35,A medium-sized dove with a gray-brown plumage, a white wing patch, and a long, pointed tail,Unknown,Gray-brown,,,
Mourning Dove,United States,15-05-2006 16:55,A medium-sized dove with a gray-brown plumage, a slender bill, and a mournful cooing call,Unknown,Gray-brown,,,,
Inca Dove,United States,15-01-2009 09:55,A small dove with a sandy brown plumage, a scaly appearance, and a gentle cooing call,Unknown,Sandy Brown,,,,
Common Ground-Dove,United States,10-09-2004 12:10,A small dove with a sandy brown plumage, a scaled appearance," and a distinctive ""coo-COO-coo"" call,Unknown,Sandy Brown",Unknown,Sandy Brown,,,,
Greater Roadrunner,United States,25-01-2011 14:35,A large cuckoo with a brown and white streaked plumage, a distinctive crest, and a rapid running speed,Unknown,Brown and White,,,,
Barn Owl,United States,20-05-2006 16:55,A medium-sized owl with a heart-shaped face, a pale plumage, and a distinctive screeching call,Unknown,Pale,,,,
Eastern Screech-Owl,United States,08-01-2009 09:55,A small owl with a gray or reddish-brown plumage, a distinctive trilling call, and a preference for tree cavities,Unknown,Gray or Reddish-brown,,,,
Great Horned Owl,United States,13-09-2004 12:10,A large owl with a brown plumage," a distinctive ""hoot"" call, and prominent ear tufts,Unknown,Brown", and prominent ear tufts,Unknown,Brown,,,,
Snowy Owl,United States,21-01-2011 14:35,A large owl with a white plumage, a rounded head, and a preference for Arctic tundra habitats,Unknown,White,,,,
Burrowing Owl,United States,28-05-2006 16:55,A small owl with a brown and white spotted plumage, long legs, and a preference for nesting in burrows,Unknown,Brown and White,,,,
Barred Owl,United States,14-01-2009 09:55,A large owl with a brown plumage, a rounded head," and a distinctive ""who-cooks-for-you"" call,Unknown,Brown",Unknown,Brown,,,,
Northern Saw-whet Owl,United States,21-09-2004 12:10,A small owl with a brown plumage, a rounded head," and a high-pitched ""toot"" call,Unknown,Brown",Unknown,Brown,,,,
Ruby-throated Hummingbird,United States,27-01-2011 14:35,A small hummingbird with a green plumage, a distinctive ruby-red throat, and a rapid wingbeat,Unknown,Green and Ruby-red,,,,
Belted Kingfisher,United States,18-05-2006 16:55,A medium-sized bird with a blue-gray plumage, a shaggy crest, and a rattling call,Unknown,Blue-gray,,,,
Red-headed Woodpecker,United States,06-01-2009 09:55,A medium-sized woodpecker with a black and white plumage, a distinctive red head, and a preference for open woodlands,Unknown,Black and White,,,,
Red-bellied Woodpecker,United States,03-09-2004 12:10,A medium-sized woodpecker with a black and white striped back, a red cap," and a distinctive ""churr"" call,Unknown,Black, White, and Red",Unknown,Black, White, and Red,,
Yellow-bellied Sapsucker,United States,26-01-2011 14:35,A medium-sized woodpecker with a black and white plumage, a red cap, a yellow belly, and a preference for sap-drinking,Unknown,Black, White, and Red,
Downy Woodpecker,United States,30-05-2006 16:55,A small woodpecker with a black and white plumage, a small bill, and a drumming call,Unknown,Black and White,,,,
Hairy Woodpecker,United States,03-01-2009 09:55,A medium-sized woodpecker with a black and white plumage, a longer bill than the Downy Woodpecker," and a distinctive ""peek"" call,Unknown,Black and White",Unknown,Black and White,,,,
Northern Flicker,United States,01-09-2004 12:10,A medium-sized woodpecker with a brown plumage, a black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Pileated Woodpecker,United States,23-01-2011 14:35,A large woodpecker with a black body, a red crest," a loud ""kuk-kuk-kuk-kuk"" call, and a preference for mature forests,Unknown,Black and Red", and a preference for mature forests,Unknown,Black and Red,,,
American Kestrel,United States,07-05-2006 16:55,A small falcon with a reddish-brown back, a white underside, and a distinctive hovering flight,Unknown,Reddish-brown and White,,,,
Merlin,United States,15-01-2009 09:55,A small falcon with a dark gray back, a white underside, and a rapid flight,Unknown,Dark Gray and White,,,,
Peregrine Falcon,United States,05-09-2004 12:10,A medium-sized falcon with a blue-gray back, a white underside, powerful wings, and incredible speed,Unknown,Blue-gray and White,,,
Roseate Spoonbill,United States,21-01-2011 14:35,A large wading bird with a pink plumage, a distinctive spoon-shaped bill, and a graceful flight,Unknown,Pink,,,,
Great Blue Heron,United States,20-05-2006 16:55,A large heron with a blue-gray plumage, a long neck, and a slow, deliberate flight,Unknown,Blue-gray,,,
Great Egret,United States,08-01-2009 09:55,A large egret with a white plumage, a long neck, and a graceful, S-shaped flight,Unknown,White,,,
Snowy Egret,United States,03-09-2004 12:10,A small egret with a white plumage, black legs, and a slender black bill,Unknown,White and Black,,,,
Little Blue Heron,United States,27-01-2011 14:35,A medium-sized heron with a blue-gray plumage, a slender bill, and a stalking movement,Unknown,Blue-gray,,,,
Tricolored Heron,United States,18-05-2006 16:55,A medium-sized heron with a blue-gray back, a white belly, a rusty neck, and a preference for marshy habitats,Unknown,Blue-gray, White, and Rusty,
Reddish Egret,United States,06-01-2009 09:55,A medium-sized heron with a mottled gray plumage, a shaggy crest, a dancing-like foraging behavior, and a preference for coastal areas,Unknown,Gray,,,
Green Heron,United States,03-09-2004 12:10,A small heron with a greenish-gray plumage, a long, slender neck, and a secretive nature,Unknown,Greenish-gray,,,
Black-crowned Night-Heron,United States,23-01-2011 14:35,A medium-sized heron with a black cap, a gray body," a distinctive ""quok"" call, and a preference for nocturnal feeding,Unknown,Black and Gray", and a preference for nocturnal feeding,Unknown,Black and Gray,,,
Glossy Ibis,United States,10-05-2006 16:55,A medium-sized wading bird with a dark brown plumage, a long, curved bill, and a metallic sheen,Unknown,Dark Brown,,,
White-faced Ibis,United States,05-01-2009 09:55,A medium-sized wading bird with a chestnut plumage, a white face, a downward-curved bill, and a preference for wetlands,Unknown,Chestnut and White,,,
Black Vulture,United States,01-09-2004 12:10,A large vulture with a black plumage, a bald head, and a scavenging nature,Unknown,Black,,,,
Turkey Vulture,United States,26-01-2011 14:35,A large vulture with a blackish-brown plumage, a red head, and a soaring flight,Unknown,Blackish-brown and Red,,,,
Osprey,United States,06-05-2006 16:55,A large bird of prey with a brown and white plumage," a distinctive ""cheer-cheer"" call, and a preference for fishing,Unknown,Brown and White", and a preference for fishing,Unknown,Brown and White,,,,
Bald Eagle,United States,06-01-2009 09:55,A large bird of prey with a brown body, a white head, a hooked yellow bill, and a soaring flight,Unknown,Brown and White,,,
Northern Harrier,United States,05-09-2004 12:10,A medium-sized hawk with a brown plumage, a white rump, a distinctive owl-like face, and a low-flying, hovering flight,Unknown,Brown and White,,
Sharp-shinned Hawk,United States,22-01-2011 14:35,A small hawk with a gray-blue back, a rusty-red barred belly, and a rapid, agile flight,Unknown,Gray-blue and Rusty-red,,,
Cooper's Hawk,United States,08-05-2006 16:55,A medium-sized hawk with a bluish-gray back, a rusty-red barred belly, a distinctive rounded tail, and a preference for wooded areas,Unknown,Bluish-gray and Rusty-red,,,
Red-tailed Hawk,United States,07-01-2009 09:55,A large hawk with a brown back, a red tail, a soaring flight," and a distinctive ""kreee"" call,Unknown,Brown and Red",Unknown,Brown and Red,,,
Rough-legged Hawk,United States,02-09-2004 12:10,A medium-sized hawk with a mottled brown plumage, a white belly, feathered legs, and a preference for open habitats,Unknown,Brown and White,,,
Virginia Rail,United States,20-01-2011 14:35,A small rail bird with a brown and black plumage, a long, slender bill," and a distinctive ""kiddik"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,
Sora,United States,17-05-2006 16:55,A small rail bird with a gray and black plumage, a short, straight bill, and a distinctive descending whinny call,Unknown,Gray and Black,,,
Common Gallinule,United States,04-01-2009 09:55,A medium-sized bird with a dark plumage, a red bill, a distinctive loud, cackling call, and a preference for marshy areas,Unknown,Dark and Red,,
American Coot,United States,05-09-2004 12:10,A medium-sized water bird with a black plumage, a distinctive white bill, lobed toes, and a preference for freshwater habitats,Unknown,Black and White,,,
Sandhill Crane,United States,24-01-2011 14:35,A large wading bird with a gray plumage, a red crown, a loud, trumpeting call, and a preference for grasslands and wetlands,Unknown,Gray and Red,,
Black-bellied Plover,United States,09-05-2006 16:55,A medium-sized shorebird with a black and white plumage, a distinctive black belly patch, and a high-pitched whistle,Unknown,Black and White,,,,
American Avocet,United States,07-01-2009 09:55,A medium-sized wading bird with a white and black plumage, a long, thin bill," a distinctive ""kleet-kleet-kleet"" call, and a preference for shallow water,Unknown,White and Black", and a preference for shallow water,Unknown,White and Black,,
Black-necked Stilt,United States,02-09-2004 12:10,A tall wading bird with a black and white plumage, long pink legs, and a distinctive upward-curved bill,Unknown,Black, White, and Pink,,
Spotted Sandpiper,United States,22-01-2011 14:35,A small sandpiper with a brown and white spotted plumage, a distinctive teetering motion, and a whistling call,Unknown,Brown and White,,,,
Solitary Sandpiper,United States,07-05-2006 16:55,A small sandpiper with a brown and white spotted plumage," a distinctive ""weet-weet"" call, and a solitary nature,Unknown,Brown and White", and a solitary nature,Unknown,Brown and White,,,,
Willet,United States,09-01-2009 09:55,A large shorebird with a gray and white plumage, a long, straight bill, a loud, piercing call, and a preference for coastal areas,Unknown,Gray and White,
Greater Yellowlegs,United States,04-09-2004 12:10,A large sandpiper with a mottled brown plumage, a long, slender bill, a loud, clear call, and a preference for wetlands and mudflats,Unknown,Brown,
Lesser Yellowlegs,United States,25-01-2011 14:35,A medium-sized sandpiper with a mottled brown plumage, a long, straight bill," a distinctive ""tu-tu-tu"" call, and a preference for freshwater habitats,Unknown,Brown", and a preference for freshwater habitats,Unknown,Brown,,
Upland Sandpiper,United States,28-05-2006 16:55,A medium-sized shorebird with a mottled brown plumage, a long, slender neck," a distinctive ""wolf whistle"" call, and a preference for open grasslands,Unknown,Brown", and a preference for open grasslands,Unknown,Brown,,
Wilson's Phalarope,United States,10-01-2009 09:55,A small sandpiper with a gray and white plumage, a long, thin bill, a distinctive spinning feeding behavior, and a preference for freshwater ponds,Unknown,Gray and White,,
